gene_symbol,cortical plate,intermediate zone,marginal zone,subpial granular zone,subplate zone,subventricular zone,ventricular zone
ACVR1B,18049,3760,4905,8694,13494,7179,13756
ACVR1C,14631,6845,1689,4524,13705,12472,16343
ACVR2A,13953,17220,10688,1925,16676,15470,3017
ACVR2B,2232,14765,15546,10484,1143,16838,15402
ACVRL1,1732,18220,12230,20014,7559,8755,4387
ACY1,2048,13155,2664,16957,659,16820,18243
ACY3,2664,9694,10167,17959,6918,15712,9850
ACYP1,15515,494,12506,6662,10277,10657,15543
ACYP2,5093,10019,18794,8921,16357,12845,5811
ADA,400,19101,8678,17091,6682,13390,12695
ADAD1,12749,7747,15510,14564,8541,6896,7006
ADAD2,17851,3579,17710,7873,7191,10011,8117
ADAL,11832,12723,19879,13044,14539,1353,2388
ADAM10,2288,5608,3784,19735,1150,15152,16387
ADAM11,17367,16390,14710,5022,20016,2032,1825
ADAM12,2579,11265,13177,20563,5507,7064,7101
ADAM15,1565,6325,5828,16898,1842,16600,18975
ADAM17,1329,12610,4612,14618,1344,15962,20474
ADAM18,11357,843,14984,18542,5431,11855,6111
ADAM19,18029,12420,15756,11117,18428,252,2856
ADAM2,15201,387,11561,14924,6800,12190,10963
ADAM20,8007,19024,13360,16254,6007,5990,5966
ADAM21,18112,5315,3213,12454,18910,6680,6385
ADAM22,14203,8563,4530,7104,3883,17140,14020
ADAM23,17883,18251,12305,2120,19247,4874,3283
ADAM28,948,16134,11790,14608,6814,14532,13921
ADAM29,14974,16593,18764,3059,16761,5596,2411
ADAM30,15759,15120,14133,10555,9130,12504,1216
ADAM32,14809,6677,2239,10441,5148,11633,16807
ADAM33,1818,18801,15247,15185,1558,12653,12522
ADAM5P,6474,6692,7163,17848,14146,12570,6731
ADAM6,10111,20387,15334,780,11799,11584,7898
ADAM7,19545,6717,1551,2983,15226,10260,14833
ADAM8,9276,14699,18967,15607,7052,2925,5786
ADAM9,2615,8644,5303,11848,1611,17097,20629
ADAMDEC1,20551,10491,8655,4620,15610,2550,10152
ADAMTS1,2348,7574,6478,20270,2493,9930,14900
ADAMTS10,11992,8038,19366,5009,13342,8068,8283
ADAMTS12,1961,2403,6185,18452,1030,17128,18282
ADAMTS13,8226,15365,20481,12490,7234,6111,3436
ADAMTS14,9246,9479,2439,19068,19730,5351,2858
ADAMTS15,8703,1668,11178,11102,15054,8517,15275
ADAMTS16,9943,16129,6024,19597,15674,1473,1991
ADAMTS17,9171,1180,7285,18949,7909,9609,12179
ADAMTS18,5989,19534,8855,6493,14480,6693,13691
ADAMTS19,5920,20623,1997,7910,20267,9658,5576
ADAMTS2,9768,19829,13009,11445,17635,2563,2785
ADAMTS20,15625,15998,2231,7307,8138,9533,14023
ADAMTS3,17816,16947,7600,1133,20052,8135,5149
ADAMTS4,757,12953,8036,19707,5994,11756,12825
ADAMTS5,1215,11949,13340,19340,879,12491,13402
ADAMTS6,2652,5929,1740,14707,12695,15326,17758
ADAMTS7,13422,17365,11680,3882,615,19908,7909
ADAMTS8,17261,5200,3792,13349,20320,2714,6440
ADAMTS9,17393,10191,13484,18646,4466,1297,4329
ADAMTSL1,5252,11863,10572,19701,13727,255,10494
ADAMTSL2,1354,19346,15646,7443,19387,9250,8686
ADAMTSL3,20609,16406,11609,5068,16686,1683,3753
ADAMTSL4,12287,4094,14803,15732,10543,1993,11334
ADAMTSL5,20013,6029,10150,5547,15832,3845,10393
ADAP1,18745,6141,18912,5986,18818,1969,3329
ADAP2,117,16671,12314,19170,7991,10896,10921
ADAR,14049,1545,19171,3591,14186,11693,9230
ADARB1,18960,7224,18040,15896,11776,1008,1325
ADARB2,819,8501,19740,18239,6985,7190,11633
ADARB2-AS1,18530,12639,13347,1310,16508,7841,7682
ADAT1,20010,5728,11130,9844,12230,6960,6368
ADAT2,17295,14899,12587,1812,20082,3976,5765
ADAT3,9563,7822,13018,12366,135,16568,14157
ADC,15566,1262,2294,6324,9731,12550,19315
ADCK1,16646,18945,11455,465,16130,11715,5111
ADCK2,19773,11404,14624,3636,19554,2610,3916
ADCK3,18653,9568,1010,2635,19231,14976,8406
ADCK4,13971,1909,6085,3027,5044,17370,18856
ADCK5,19067,8212,19099,1855,14846,5729,6220
ADCY1,14632,18087,18356,5135,18819,3706,511
ADCY10,7226,18837,16230,12702,17195,4064,2457
ADCY10P1,6753,7414,8850,12746,16369,12677,9956
ADCY2,12959,18997,13846,1731,20501,2937,4695
ADCY3,20599,1812,9402,3489,15318,8611,11524
ADCY4,1647,13987,17368,20000,2911,9791,6184
